mouse,lesion,DAPI_count,total_host_count,B220_count,CD4_count,CD8_count,area,nonrep_tb,rep_tb,total_tb,B220_percent,CD4_percent,CD8_percent,Other_percent,B220_prop,CD4_prop,CD8_prop,DAPI_prop,DAPI_count_500,total_host_count_500,B220_count_500,CD4_count_500,CD8_count_500,RS_index,log_rep_tb,log_nonrep_tb,log_total_tb,log_RS_index,log_RS_prop,RS_prop,Vaccination,Timepoint
SAL18,L09,2995,3719,168,324,239,234779.0725,347,15,362,4.517343372,8.71201936,6.426458725,80.53240118,0.045173434,0.087120194,0.064264587,0.805324012,5.99,7.438,0.336,0.648,0.478,4.207694269,2.772588722,5.85220248,5.894402834,7.508959176,0.470376525,0.041436464,SAL,D114
SAL18,L10,1061,1499,88,197,153,84281.58808,108,3,111,5.870580387,13.14209473,10.20680454,70.78052035,0.058705804,0.131420947,0.102068045,0.707805203,2.122,2.998,0.176,0.394,0.306,2.05692684,1.386294361,4.691347882,4.718498871,9.301650998,0.293799871,0.027027027,SAL,D114
SAL20,L01,3392,3929,180,188,170,269310.4993,137,4,141,4.581318402,4.784932553,4.326800713,86.3324001,0.045813184,0.047849326,0.043268007,0.863324001,6.784,7.858,0.36,0.376,0.34,1.04779545,1.609437912,4.927253685,4.955827058,4.120058838,0.324756674,0.028368794,SAL,D114
SAL20,L02,3957,4873,274,339,305,324779.5484,600,71,671,5.622819618,6.956700185,6.258978042,81.20254463,0.056228196,0.069567002,0.06258978,0.812025446,7.914,9.746,0.548,0.678,0.61,16.29420617,4.276666119,6.398594935,6.510258341,8.929405375,0.656911891,0.105812221,SAL,D114
SAL20,L03,425,663,40,79,122,41309.18285,76,7,83,6.033182504,11.91553544,18.40120664,64.1025641,0.060331825,0.119155354,0.184012066,0.641025641,0.85,1.326,0.08,0.158,0.244,11.53052314,2.079441542,4.343805422,4.430816799,31.99238503,0.469313365,0.084337349,SAL,D114
SAL20,L04,9901,16018,3464,1262,1474,971551.6238,2147,246,2393,21.62567112,7.878636534,9.202147584,61.81171182,0.216256711,0.078786365,0.092021476,0.618117118,19.802,32.036,6.928,2.524,2.948,17.11738709,5.509388337,7.672292456,7.780720886,3.488106875,0.708081991,0.102799833,SAL,D114
SAL20,L05,9459,15451,4162,905,1029,918150.3648,2564,159,2723,26.93676785,5.85722607,6.659763122,61.21933855,0.269367678,0.058572261,0.066597631,0.612193386,18.918,30.902,8.324,1.81,2.058,10.92874147,5.075173815,7.849713758,7.909856667,3.309856167,0.641626521,0.05839148,SAL,D114
SAL19,L01,12477,19265,3302,2133,1461,1246700.883,3002,277,3279,17.13989099,11.07189203,7.583701012,64.76511809,0.17139891,0.11071892,0.07583701,0.647651181,24.954,38.53,6.604,4.266,2.922,15.70512815,5.627621114,8.007367068,8.095598701,2.953351044,0.69514576,0.084476975,SAL,D114
SAL19,L02,272,400,34,58,37,26514.9946,61,4,65,8.5,14.5,9.25,68,0.085,0.145,0.0925,0.68,0.544,0.8,0.068,0.116,0.074,10.6557377,1.609437912,4.127134385,4.189654742,40.84546657,0.384145714,0.061538462,SAL,D114
SAL19,L03,2464,3205,158,318,271,232245.1141,369,13,382,4.929797192,9.92199688,8.455538222,76.8798752,0.049297972,0.099219969,0.084555382,0.768798752,4.928,6.41,0.316,0.636,0.542,4.199062271,2.63905733,5.913503006,5.948034989,8.282271893,0.443685576,0.034031414,SAL,D114
